"identity","holdState","residualFamily","relativeDiagnosticRoot","bfEligibleCandidateCount","dfEligibleCandidateCount","pairedCandidateCount","bfMorphologyAnglesDegrees","dfMorphologyAnglesDegrees","bfInlierFraction","bfCoverageFraction","bfRmsResidualPx","dfInlierFraction","dfCoverageFraction","dfRmsResidualPx","patternSuppression","sourceMutationPerformed"
"Coherent_W2W\Lot_62626-015\62626-015_20260728162412\Slot04|BACK","HOLD_BACK_NOTCH_NOT_FOUND","BF_ONLY_ELIGIBLE","_ArgosReview/C15RUN2/i/Coherent_W2W_Lot_62626-015_62626-015_20260_9cbb705356/back_notch","1","0","0","179.7","","0.9639159083777847","0.9722222222222222","1.0453324411540053","0.8665697674418604","0.9861111111111112","1.8565841374069854","FULL_360_OUTERMOST_DARK_EXTERIOR_BOUNDARY_BOTH_CHANNELS","False"
"Coherent_W2W\Lot_62626-015\62626-015_20260728162412\Slot06|BACK","HOLD_BACK_NOTCH_NOT_FOUND","BF_ONLY_ELIGIBLE","_ArgosReview/C15RUN2/i/Coherent_W2W_Lot_62626-015_62626-015_20260_ecc18ee95b/back_notch","1","0","0","179.8","","0.9735547355473555","0.9861111111111112","0.9775883283976624","0.9162288382953883","0.9861111111111112","3.171897850518061","FULL_360_OUTERMOST_DARK_EXTERIOR_BOUNDARY_BOTH_CHANNELS","False"
"Coherent_W2W\Lot_62626-015\62626-015_20260728162412\Slot07|BACK","HOLD_BACK_NOTCH_NOT_FOUND","BF_ONLY_ELIGIBLE","_ArgosReview/C15RUN2/i/Coherent_W2W_Lot_62626-015_62626-015_20260_df5002c510/back_notch","1","0","0","179.8","","0.9670971709717097","0.9861111111111112","1.1365804686448808","0.8598837209302326","0.9583333333333334","2.0018834543898194","FULL_360_OUTERMOST_DARK_EXTERIOR_BOUNDARY_BOTH_CHANNELS","False"
"Coherent_W2W\Lot_62626-015\62626-015_20260728180702\Slot03|BACK","HOLD_BACK_NOTCH_NOT_FOUND","BF_ONLY_ELIGIBLE","_ArgosReview/C15RUN2/i/Coherent_W2W_Lot_62626-015_62626-015_20260_2c0bb1b614/back_notch","1","0","0","179.9","","0.9572964669738864","0.9722222222222222","1.1537538855291964","0.8619982420158219","0.9444444444444444","2.181233613135751","FULL_360_OUTERMOST_DARK_EXTERIOR_BOUNDARY_BOTH_CHANNELS","False"
"Coherent_W2W\Lot_62626-015\62626-015_20260728180702\Slot04|BACK","HOLD_BACK_NOTCH_NOT_FOUND","BF_ONLY_ELIGIBLE","_ArgosReview/C15RUN2/i/Coherent_W2W_Lot_62626-015_62626-015_20260_3ddd920b89/back_notch","1","0","0","179.8","","0.9574601188614326","0.9722222222222222","1.16887754468546","0.8608518086347725","0.9722222222222222","1.8911542545748503","FULL_360_OUTERMOST_DARK_EXTERIOR_BOUNDARY_BOTH_CHANNELS","False"
"Coherent_W2W\Lot_62626-015\62626-015_20260728180702\Slot05|BACK","HOLD_BACK_NOTCH_NOT_FOUND","BF_ONLY_ELIGIBLE","_ArgosReview/C15RUN2/i/Coherent_W2W_Lot_62626-015_62626-015_20260_6babb68d89/back_notch","1","0","0","179.9","","0.9638854296388543","0.9722222222222222","1.4133899838786979","0.8473193473193473","0.9305555555555556","1.8491784694524747","FULL_360_OUTERMOST_DARK_EXTERIOR_BOUNDARY_BOTH_CHANNELS","False"
"Coherent_W2W\Lot_62626-015\62626-015_20260728180702\Slot07|BACK","HOLD_BACK_NOTCH_NOT_FOUND","BF_ONLY_ELIGIBLE","_ArgosReview/C15RUN2/i/Coherent_W2W_Lot_62626-015_62626-015_20260_0707175dad/back_notch","1","0","0","179.9","","0.9559099437148217","0.9722222222222222","1.2031702800998907","0.8533100029163021","0.9583333333333334","2.047896152314683","FULL_360_OUTERMOST_DARK_EXTERIOR_BOUNDARY_BOTH_CHANNELS","False"
"Coherent_W2W\Lot_62626-015\62626-015_20260728180702\Slot09|BACK","HOLD_BACK_NOTCH_NOT_FOUND","BF_ONLY_ELIGIBLE","_ArgosReview/C15RUN2/i/Coherent_W2W_Lot_62626-015_62626-015_20260_5cb6fcec38/back_notch","1","0","0","180","","0.9434542102028273","0.9722222222222222","1.1139081294257536","0.9128250591016549","0.9861111111111112","2.469870301057655","FULL_360_OUTERMOST_DARK_EXTERIOR_BOUNDARY_BOTH_CHANNELS","False"
"Coherent_W2W\Lot_62627-127\62627-127_20260729061029\Slot18|BACK","HOLD_BACK_NOTCH_NOT_FOUND","BF_ONLY_ELIGIBLE","_ArgosReview/C15RUN2/i/Coherent_W2W_Lot_62627-127_62627-127_20260_15e9df8974/back_notch","1","0","0","179.8","","0.9648581997533908","0.9861111111111112","0.9874318509790493","0.9662475181998676","0.9305555555555556","1.824507957911575","FULL_360_OUTERMOST_DARK_EXTERIOR_BOUNDARY_BOTH_CHANNELS","False"
"Coherent_W2W\Lot_62628-233\62628-233_20260729052723\Slot16|BACK","HOLD_BACK_NOTCH_NOT_FOUND","BF_ONLY_ELIGIBLE","_ArgosReview/C15RUN2/i/Coherent_W2W_Lot_62628-233_62628-233_20260_802ed9f90e/back_notch","1","0","0","180.2","","0.9099697885196375","0.9861111111111112","0.7635964749082526","0.9692307692307692","0.9444444444444444","1.591887938346149","FULL_360_OUTERMOST_DARK_EXTERIOR_BOUNDARY_BOTH_CHANNELS","False"
"Coherent_W2W\Lot_62628-233\62628-233_20260729052723\Slot18|BACK","HOLD_BACK_NOTCH_NOT_FOUND","BF_ONLY_ELIGIBLE","_ArgosReview/C15RUN2/i/Coherent_W2W_Lot_62628-233_62628-233_20260_7f7d64f386/back_notch","1","0","0","180.1","","0.9445277361319341","0.9861111111111112","0.8526053736046459","0.965528781793842","0.9027777777777778","1.5136164304361683","FULL_360_OUTERMOST_DARK_EXTERIOR_BOUNDARY_BOTH_CHANNELS","False"
"Coherent_W2W\Lot_62628-233\62628-233_20260729052723\Slot21|BACK","HOLD_BACK_NOTCH_NOT_FOUND","BF_ONLY_ELIGIBLE","_ArgosReview/C15RUN2/i/Coherent_W2W_Lot_62628-233_62628-233_20260_6bbdcca9d3/back_notch","1","0","0","180.1","","0.9559270516717325","0.9861111111111112","0.8399530029205955","0.969179229480737","0.9305555555555556","1.7294318060994027","FULL_360_OUTERMOST_DARK_EXTERIOR_BOUNDARY_BOTH_CHANNELS","False"
"Coherent_W2W\Lot_62628-233\62628-233_20260729052723\Slot22|BACK","HOLD_BACK_NOTCH_NOT_FOUND","BF_ONLY_ELIGIBLE","_ArgosReview/C15RUN2/i/Coherent_W2W_Lot_62628-233_62628-233_20260_4d8c407f5d/back_notch","1","0","0","180","","0.9499847514486124","0.9861111111111112","0.8445884282943799","0.9697783747481531","0.9444444444444444","1.5608355239687142","FULL_360_OUTERMOST_DARK_EXTERIOR_BOUNDARY_BOTH_CHANNELS","False"
"Coherent_W2W\Lot_62628-233\62628-233_20260729063218\Slot19|BACK","HOLD_BACK_NOTCH_NOT_FOUND","BF_ONLY_ELIGIBLE","_ArgosReview/C15RUN2/i/Coherent_W2W_Lot_62628-233_62628-233_20260_6be4485d4e/back_notch","1","0","0","178.7","","0.9395788831248093","0.9861111111111112","0.8764316223138953","0.9708542713567839","0.9166666666666666","1.7011685814809177","FULL_360_OUTERMOST_DARK_EXTERIOR_BOUNDARY_BOTH_CHANNELS","False"
"Coherent_W2W\Lot_62628-233\62628-233_20260729063218\Slot20|BACK","HOLD_BACK_NOTCH_NOT_FOUND","BF_ONLY_ELIGIBLE","_ArgosReview/C15RUN2/i/Coherent_W2W_Lot_62628-233_62628-233_20260_8adf6f40fd/back_notch","5","0","0","296.6;224.8;228.1;291.6;178.8","","0.9127653387612679","0.9861111111111112","0.9456907098988072","0.9431891542930924","0.9444444444444444","1.6320573438546089","FULL_360_OUTERMOST_DARK_EXTERIOR_BOUNDARY_BOTH_CHANNELS","False"
"Coherent_W2W\Lot_62628-233\62628-233_20260729063218\Slot21|BACK","HOLD_BACK_NOTCH_NOT_FOUND","BF_ONLY_ELIGIBLE","_ArgosReview/C15RUN2/i/Coherent_W2W_Lot_62628-233_62628-233_20260_3923c7cab0/back_notch","1","0","0","178.9","","0.9562575941676792","0.9861111111111112","0.8246320438567007","0.9695550351288056","0.9305555555555556","1.7110564308113207","FULL_360_OUTERMOST_DARK_EXTERIOR_BOUNDARY_BOTH_CHANNELS","False"
"PST_BRKFULLMETAL\Lot_LotIDStringNotSet\ProcessJob11\Slot18|BACK","HOLD_BACK_NOTCH_NOT_FOUND","BF_ONLY_ELIGIBLE","_ArgosReview/C15RUN2/i/PST_BRKFULLMETAL_Lot_LotIDStringNotSet_Pro_4ae1f255d5/back_notch","1","0","0","182.7","","0.948359659781288","0.9583333333333334","1.0560187521158189","0.8363939899833055","0.8472222222222222","2.495185412166572","FULL_360_OUTERMOST_DARK_EXTERIOR_BOUNDARY_BOTH_CHANNELS","False"
