"identity","classification","r14State","r15State","r14AngleDegrees","r15AngleDegrees","angleDeltaDegrees","r14BfDfDifferenceDegrees","r15BfDfDifferenceDegrees","r14DiagnosticRoot","r15DiagnosticRoot"
"Coherent_W2W\Lot_62626-015\62626-015_20260728162412\Slot01|BACK","SAME_HOLD","HOLD_BACK_NOTCH_NOT_FOUND","HOLD_BACK_NOTCH_NOT_FOUND","","","","","","D:\KLARFExport\_ArgosReview\C15RUN1\i\Coherent_W2W_Lot_62626-015_62626-015_20260_bae412133f\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\Coherent_W2W_Lot_62626-015_62626-015_20260_bae412133f\back_notch"
"Coherent_W2W\Lot_62626-015\62626-015_20260728162412\Slot02|BACK","SAME_HOLD","HOLD_BACK_NOTCH_NOT_FOUND","HOLD_BACK_NOTCH_NOT_FOUND","","","","","","D:\KLARFExport\_ArgosReview\C15RUN1\i\Coherent_W2W_Lot_62626-015_62626-015_20260_c6295830de\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\Coherent_W2W_Lot_62626-015_62626-015_20260_c6295830de\back_notch"
"Coherent_W2W\Lot_62626-015\62626-015_20260728162412\Slot03|BACK","SAME_HOLD","HOLD_BACK_NOTCH_NOT_FOUND","HOLD_BACK_NOTCH_NOT_FOUND","","","","","","D:\KLARFExport\_ArgosReview\C15RUN1\i\Coherent_W2W_Lot_62626-015_62626-015_20260_27c13fd63f\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\Coherent_W2W_Lot_62626-015_62626-015_20260_27c13fd63f\back_notch"
"Coherent_W2W\Lot_62626-015\62626-015_20260728162412\Slot04|BACK","SAME_HOLD","HOLD_BACK_NOTCH_NOT_FOUND","HOLD_BACK_NOTCH_NOT_FOUND","","","","","","D:\KLARFExport\_ArgosReview\C15RUN1\i\Coherent_W2W_Lot_62626-015_62626-015_20260_9cbb705356\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\Coherent_W2W_Lot_62626-015_62626-015_20260_9cbb705356\back_notch"
"Coherent_W2W\Lot_62626-015\62626-015_20260728162412\Slot05|BACK","SAME_HOLD","HOLD_BACK_NOTCH_NOT_FOUND","HOLD_BACK_NOTCH_NOT_FOUND","","","","","","D:\KLARFExport\_ArgosReview\C15RUN1\i\Coherent_W2W_Lot_62626-015_62626-015_20260_8d01463ae8\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\Coherent_W2W_Lot_62626-015_62626-015_20260_8d01463ae8\back_notch"
"Coherent_W2W\Lot_62626-015\62626-015_20260728162412\Slot06|BACK","SAME_HOLD","HOLD_BACK_NOTCH_NOT_FOUND","HOLD_BACK_NOTCH_NOT_FOUND","","","","","","D:\KLARFExport\_ArgosReview\C15RUN1\i\Coherent_W2W_Lot_62626-015_62626-015_20260_ecc18ee95b\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\Coherent_W2W_Lot_62626-015_62626-015_20260_ecc18ee95b\back_notch"
"Coherent_W2W\Lot_62626-015\62626-015_20260728162412\Slot07|BACK","SAME_HOLD","HOLD_BACK_NOTCH_NOT_FOUND","HOLD_BACK_NOTCH_NOT_FOUND","","","","","","D:\KLARFExport\_ArgosReview\C15RUN1\i\Coherent_W2W_Lot_62626-015_62626-015_20260_df5002c510\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\Coherent_W2W_Lot_62626-015_62626-015_20260_df5002c510\back_notch"
"Coherent_W2W\Lot_62626-015\62626-015_20260728162412\Slot08|BACK","SAME_HOLD","HOLD_BACK_NOTCH_NOT_FOUND","HOLD_BACK_NOTCH_NOT_FOUND","","","","","","D:\KLARFExport\_ArgosReview\C15RUN1\i\Coherent_W2W_Lot_62626-015_62626-015_20260_91bb58bd14\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\Coherent_W2W_Lot_62626-015_62626-015_20260_91bb58bd14\back_notch"
"Coherent_W2W\Lot_62626-015\62626-015_20260728162412\Slot09|BACK","SAME_HOLD","HOLD_BACK_NOTCH_NOT_FOUND","HOLD_BACK_NOTCH_NOT_FOUND","","","","","","D:\KLARFExport\_ArgosReview\C15RUN1\i\Coherent_W2W_Lot_62626-015_62626-015_20260_bf8369df81\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\Coherent_W2W_Lot_62626-015_62626-015_20260_bf8369df81\back_notch"
"Coherent_W2W\Lot_62626-015\62626-015_20260728162412\Slot10|BACK","SAME_HOLD","HOLD_BACK_NOTCH_NOT_FOUND","HOLD_BACK_NOTCH_NOT_FOUND","","","","","","D:\KLARFExport\_ArgosReview\C15RUN1\i\Coherent_W2W_Lot_62626-015_62626-015_20260_65d9aea69a\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\Coherent_W2W_Lot_62626-015_62626-015_20260_65d9aea69a\back_notch"
