"identity","classification","r14State","r15State","r14AngleDegrees","r15AngleDegrees","angleDeltaDegrees","r14BfDfDifferenceDegrees","r15BfDfDifferenceDegrees","r14DiagnosticRoot","r15DiagnosticRoot"
"PatternedFront\Lot_62631-541B\62631-541B_20260829114907\Slot01|BACK","NEW_R15","","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","","89.79493643081588","","","0.010127138368289934","","D:\KLARFExport\_ArgosReview\C15RUN2\i\PatternedFront_Lot_62631-541B_62631-541B_2_6eba5c2ffe\back_notch"
"UnpatternedFront\Lot_62635-944\62635-944_20260829105914\Slot01|BACK","NEW_R15","","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","","89.77501865855305","","","0.04996268289394834","","D:\KLARFExport\_ArgosReview\C15RUN2\i\UnpatternedFront_Lot_62635-944_62635-944_2_f66bc12bd8\back_notch"
"UnpatternedFront\Lot_62635-944\62635-944_20260829105914\Slot02|BACK","NEW_R15","","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","","89.79058162273975","","","0.018836754520492605","","D:\KLARFExport\_ArgosReview\C15RUN2\i\UnpatternedFront_Lot_62635-944_62635-944_2_563d72639b\back_notch"
"UnpatternedFront\Lot_62635-944\62635-944_20260829105914\Slot03|BACK","NEW_R15","","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","","90.19653060323817","","","0.006938793523602271","","D:\KLARFExport\_ArgosReview\C15RUN2\i\UnpatternedFront_Lot_62635-944_62635-944_2_d11e8d0a6a\back_notch"
"UnpatternedFront\Lot_62635-944\62635-944_20260829105914\Slot05|BACK","NEW_R15","","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","","89.77676768016329","","","0.04646463967344516","","D:\KLARFExport\_ArgosReview\C15RUN2\i\UnpatternedFront_Lot_62635-944_62635-944_2_4424f07c96\back_notch"
"UnpatternedFront\Lot_62635-944\62635-944_20260829105914\Slot06|BACK","NEW_R15","","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","","89.77622482590425","","","0.047550348191549574","","D:\KLARFExport\_ArgosReview\C15RUN2\i\UnpatternedFront_Lot_62635-944_62635-944_2_efb992db32\back_notch"
"UnpatternedFront\Lot_62635-944\62635-944_20260829105914\Slot07|BACK","NEW_R15","","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","","89.77462376056957","","","0.05075247886094303","","D:\KLARFExport\_ArgosReview\C15RUN2\i\UnpatternedFront_Lot_62635-944_62635-944_2_9a682e6429\back_notch"
"UnpatternedFront\Lot_62635-944\62635-944_20260829105914\Slot08|BACK","NEW_R15","","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","","89.87460683167464","","","0.05078633665075927","","D:\KLARFExport\_ArgosReview\C15RUN2\i\UnpatternedFront_Lot_62635-944_62635-944_2_4687145e04\back_notch"
"UnpatternedFront\Lot_62635-944\62635-944_20260829105914\Slot09|BACK","NEW_R15","","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","","89.9214033330966","","","0.042806666193200726","","D:\KLARFExport\_ArgosReview\C15RUN2\i\UnpatternedFront_Lot_62635-944_62635-944_2_51a78fcd8c\back_notch"
"UnpatternedFront\Lot_62635-944\62635-944_20260829105914\Slot10|BACK","NEW_R15","","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","","89.8064337819776","","","0.012867563955126116","","D:\KLARFExport\_ArgosReview\C15RUN2\i\UnpatternedFront_Lot_62635-944_62635-944_2_b4db5c0642\back_notch"
