"identity","classification","r14State","r15State","r14AngleDegrees","r15AngleDegrees","angleDeltaDegrees","r14BfDfDifferenceDegrees","r15BfDfDifferenceDegrees","r14DiagnosticRoot","r15DiagnosticRoot"
"Backside_Bare\Lot_62613-842A-test\62613-842A_20260730053646\Slot25|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","89.81632171232667","89.81632171232667","0","0.032643424653258535","0.032643424653258535","D:\KLARFExport\_ArgosReview\C15RUN1\i\Backside_Bare_Lot_62613-842A-test_62613-84_00cb15628d\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\Backside_Bare_Lot_62613-842A-test_62613-84_00cb15628d\back_notch"
"BackSide_BowComp\Lot_62607-215\62607-215_20260730053038\Slot25|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","89.72170765835513","89.72170765835513","0","0.04341531671025223","0.04341531671025223","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62607-215_62607-215_2_52f5ff3745\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62607-215_62607-215_2_52f5ff3745\back_notch"
"BackSide_BowComp\Lot_62625-956\62625-956_20260729122701\Slot16|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","89.89741421049033","89.89741421049033","0","0.005171579019361161","0.005171579019361161","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62625-956_62625-956_2_1aef9d3607\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62625-956_62625-956_2_1aef9d3607\back_notch"
"BackSide_BowComp\Lot_62625-956\62625-956_20260729122701\Slot17|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","89.76045326659988","89.76045326659988","0","0.07909346680031604","0.07909346680031604","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62625-956_62625-956_2_533be53514\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62625-956_62625-956_2_533be53514\back_notch"
"BackSide_BowComp\Lot_62625-956\62625-956_20260729122701\Slot18|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","89.77700482246036","89.77700482246036","0","0.04599035507936833","0.04599035507936833","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62625-956_62625-956_2_ce216734c3\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62625-956_62625-956_2_ce216734c3\back_notch"
"BackSide_BowComp\Lot_62625-956\62625-956_20260729122701\Slot19|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","89.78855635009955","89.78855635009955","0","0.022887299800913752","0.022887299800913752","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62625-956_62625-956_2_0a1b07c77e\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62625-956_62625-956_2_0a1b07c77e\back_notch"
"BackSide_BowComp\Lot_62625-956\62625-956_20260729122701\Slot20|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","89.89871454180232","89.89871454180232","0","0.0025709163953706593","0.0025709163953706593","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62625-956_62625-956_2_08913d31e2\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62625-956_62625-956_2_08913d31e2\back_notch"
"BackSide_BowComp\Lot_62625-956\62625-956_20260729122701\Slot21|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","90.0145887748817","90.0145887748817","0","0.029177549763431898","0.029177549763431898","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62625-956_62625-956_2_fd9890b702\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62625-956_62625-956_2_fd9890b702\back_notch"
"BackSide_BowComp\Lot_62625-956\62625-956_20260729122701\Slot22|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","89.48236244332844","89.48236244332844","0","0.03527511334311839","0.03527511334311839","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62625-956_62625-956_2_be21a0ca52\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62625-956_62625-956_2_be21a0ca52\back_notch"
"BackSide_BowComp\Lot_62625-956\62625-956_20260729122701\Slot23|BACK","SAME_PASS","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","PASS_REVIEW_ONLY_UNIQUE_BACK_BF_DF_NOTCH","89.92672484494162","89.92672484494162","0","0.05344968988316623","0.05344968988316623","D:\KLARFExport\_ArgosReview\C15RUN1\i\BackSide_BowComp_Lot_62625-956_62625-956_2_b2682b0944\back_notch","D:\KLARFExport\_ArgosReview\C15RUN2\i\BackSide_BowComp_Lot_62625-956_62625-956_2_b2682b0944\back_notch"
