"identity","classification","r14State","r15State","r14AngleDegrees","r15AngleDegrees","angleDeltaDegrees","r14BfDfDifferenceDegrees","r15BfDfDifferenceDegrees","r14DiagnosticRoot","r15DiagnosticRoot"
"Coherent_W2W\Lot_62626-015\62626-015_20260728162412\Slot07|BACK","SAME_HOLD","HOLD_BACK_NOTCH_NOT_FOUND","HOLD_BACK_NOTCH_NOT_FOUND","","","","","","D:\KLARFExport\_ArgosReview\C15RUN2\i\Coherent_W2W_Lot_62626-015_62626-015_20260_df5002c510\back_notch","D:\KLARFExport\_ArgosReview\C15RUN4\i\Coherent_W2W_Lot_62626-015_62626-015_20260_df5002c510\back_notch"
"Coherent_W2W\Lot_62626-015\62626-015_20260728162412\Slot10|BACK","SAME_HOLD","HOLD_BACK_NOTCH_NOT_FOUND","HOLD_BACK_NOTCH_NOT_FOUND","","","","","","D:\KLARFExport\_ArgosReview\C15RUN2\i\Coherent_W2W_Lot_62626-015_62626-015_20260_65d9aea69a\back_notch","D:\KLARFExport\_ArgosReview\C15RUN4\i\Coherent_W2W_Lot_62626-015_62626-015_20260_65d9aea69a\back_notch"
"Coherent_W2W\Lot_62626-015\62626-015_20260728180702\Slot01|BACK","SAME_HOLD","HOLD_BACK_NOTCH_NOT_FOUND","HOLD_BACK_NOTCH_NOT_FOUND","","","","","","D:\KLARFExport\_ArgosReview\C15RUN2\i\Coherent_W2W_Lot_62626-015_62626-015_20260_794099018e\back_notch","D:\KLARFExport\_ArgosReview\C15RUN4\i\Coherent_W2W_Lot_62626-015_62626-015_20260_794099018e\back_notch"
"Coherent_W2W\Lot_62626-015\62626-015_20260728180702\Slot03|BACK","SAME_HOLD","HOLD_BACK_NOTCH_NOT_FOUND","HOLD_BACK_NOTCH_NOT_FOUND","","","","","","D:\KLARFExport\_ArgosReview\C15RUN2\i\Coherent_W2W_Lot_62626-015_62626-015_20260_2c0bb1b614\back_notch","D:\KLARFExport\_ArgosReview\C15RUN4\i\Coherent_W2W_Lot_62626-015_62626-015_20260_2c0bb1b614\back_notch"
"Coherent_W2W\Lot_62626-015\62626-015_20260728180702\Slot04|BACK","SAME_HOLD","HOLD_BACK_NOTCH_NOT_FOUND","HOLD_BACK_NOTCH_NOT_FOUND","","","","","","D:\KLARFExport\_ArgosReview\C15RUN2\i\Coherent_W2W_Lot_62626-015_62626-015_20260_3ddd920b89\back_notch","D:\KLARFExport\_ArgosReview\C15RUN4\i\Coherent_W2W_Lot_62626-015_62626-015_20260_3ddd920b89\back_notch"
"Coherent_W2W\Lot_62626-015\62626-015_20260728180702\Slot05|BACK","SAME_HOLD","HOLD_BACK_NOTCH_NOT_FOUND","HOLD_BACK_NOTCH_NOT_FOUND","","","","","","D:\KLARFExport\_ArgosReview\C15RUN2\i\Coherent_W2W_Lot_62626-015_62626-015_20260_6babb68d89\back_notch","D:\KLARFExport\_ArgosReview\C15RUN4\i\Coherent_W2W_Lot_62626-015_62626-015_20260_6babb68d89\back_notch"
"Coherent_W2W\Lot_62626-015\62626-015_20260728180702\Slot07|BACK","SAME_HOLD","HOLD_BACK_NOTCH_NOT_FOUND","HOLD_BACK_NOTCH_NOT_FOUND","","","","","","D:\KLARFExport\_ArgosReview\C15RUN2\i\Coherent_W2W_Lot_62626-015_62626-015_20260_0707175dad\back_notch","D:\KLARFExport\_ArgosReview\C15RUN4\i\Coherent_W2W_Lot_62626-015_62626-015_20260_0707175dad\back_notch"
"Coherent_W2W\Lot_62626-015\62626-015_20260728180702\Slot08|BACK","SAME_HOLD","HOLD_BACK_NOTCH_NOT_FOUND","HOLD_BACK_NOTCH_NOT_FOUND","","","","","","D:\KLARFExport\_ArgosReview\C15RUN2\i\Coherent_W2W_Lot_62626-015_62626-015_20260_009f35ef13\back_notch","D:\KLARFExport\_ArgosReview\C15RUN4\i\Coherent_W2W_Lot_62626-015_62626-015_20260_009f35ef13\back_notch"
"Coherent_W2W\Lot_62626-015\62626-015_20260728180702\Slot10|BACK","SAME_HOLD","HOLD_BACK_NOTCH_NOT_FOUND","HOLD_BACK_NOTCH_NOT_FOUND","","","","","","D:\KLARFExport\_ArgosReview\C15RUN2\i\Coherent_W2W_Lot_62626-015_62626-015_20260_bad528bfc0\back_notch","D:\KLARFExport\_ArgosReview\C15RUN4\i\Coherent_W2W_Lot_62626-015_62626-015_20260_bad528bfc0\back_notch"
"Coherent_W2W\Lot_62628-233\62628-233_20260729052723\Slot16|BACK","SAME_HOLD","HOLD_BACK_NOTCH_NOT_FOUND","HOLD_BACK_NOTCH_NOT_FOUND","","","","","","D:\KLARFExport\_ArgosReview\C15RUN2\i\Coherent_W2W_Lot_62628-233_62628-233_20260_802ed9f90e\back_notch","D:\KLARFExport\_ArgosReview\C15RUN4\i\Coherent_W2W_Lot_62628-233_62628-233_20260_802ed9f90e\back_notch"
